account,sn,text,embed,uri,clean_uri,translated_text,label
gice.glasgow.social.ap.brid.gy,1.0,"‼️🇫🇷☠️ ranskalainen fasistinen palkkasoturi sai surmansa kupyanskin alueella. ▪️benjamin day, kutsumerkki ""benson"", sai surmansa. ▪️hän taisteli ukrainan asevoimissa keväästä 2024 lähtien osana 60. erillistä mekanisoitua prikaatia. ▪️verkossa kie...
https://t.me/uutishuone/1362609","external=External(description='‼️🇫🇷☠️ Ranskalainen fasistinen palkkasoturi sai surmansa Kupyanskin alueella. ▪️Benjamin Day, kutsumerkki ""Benson"", sai surmansa. ▪️Hän taisteli Ukrainan asevoimissa keväästä 2024 lähtien osana 60. erillistä mekanisoitua prikaatia. ▪️Verkossa kiertää lukuisia kuvia hänestä natsisymboleja käyttäneenä. ⚠️Tilaa RV: MAX | t.me/RVvoenkor', title='Uutishuone', uri='https://t.me/uutishuone/1362609', thumb=BlobRef(mime_type='image/jpeg', size=20073, ref=IpldLink(link='bafkreifxb66jurk3goqp2mfkgqm24a322fb3wsutxgjiev2gjhcjuoupr4'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/uutishuone/1362609,uutishuone,"‼️🇫🇷☠️ a French fascist mercenary was killed in the Kupyansk region. ▪️benjamin day, call sign ""benson"", was killed. ▪️hän fought in the Ukrainian Armed Forces since spring 2024 as part of the 60th Separate Mechanized Brigade. ▪️verkossa kie...
https://t.me/uutishuone/1362609",1.0
rvps2001.vonhaller.social.ap.brid.gy,19.0,"https://t.me/internationalreporters_eng/5980
the main points of dmitry peskov's statements: 🔹peskov called the publications about lavrov's ""disappearance"" from the public space completely false: ""you will see the minister""; 🔹the number of supporters of peace on russia's terms w...","external=External(description='The main points of Dmitry Peskov\'s statements: 🔹Peskov called the publications about Lavrov\'s ""disappearance"" from the public space completely false: ""You will see the Minister""; 🔹The number of supporters of peace on Russia\'s terms will grow in Ukraine, despite the intimidation of the public; 🔹Russia would like to end the conflict in Ukraine as soon as possible, but it is important to achieve the initially set goals; 🔹Russia remains open to a political and diplomatic solution in Ukraine, and this option is preferable; 🔹The situation on the fronts is dynamic and speaks volumes about the inevitable deterioration of the Kiev regime\'s position day by day; 🔹Kazakhstan is a particularly privileged partner of Russia, and Moscow is actively finalizing preparations for Tokayev\'s state visit to Russia; 🔹During negotiations, Putin always informs his counterparts about the developments on the fronts and in the settlement process, and he will do so during his meeting with Tokayev; 🔹Moscow is aware of Astana\'s willingness to contribute to the settlement process in Ukraine, and it highly appreciates this; 🔹The Kremlin is unaware of Hungary\'s initiatives to resolve the situation in Ukraine; 🔹The Kremlin expects a meaningful visit from Putin to India before the end of the year; 🤩Subscribe to International Reporters in English', title='International Reporters_eng', uri='https://t.me/internationalreporters_eng/5980', thumb=BlobRef(mime_type='image/jpeg', size=10988, ref=IpldLink(link='bafkreihvmqy3fkmshf5brgd2yo2r76bunftzqeai3ylw2kbz6fje4nm754'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/internationalreporters_eng/5980,internationalreporters_eng,"https://t.me/internationalreporters_eng/5980
the main points of dmitry peskov's statements: 🔹peskov called the publications about lavrov's ""disappearance"" from the public space completely false: ""you will see the minister""; 🔹the number of supporters of peace on russia's terms w...",1.0
sanmarcos.bsky.social,2.0,"❗️how russia managed to advance in pokrovsk: isw named the decisive factor

it took russian troops 21 months to advance 39 kilometers from avdiivka to pokrovsk. russia deployed between 170,000 and 220,000 troops to the pokrovsk direction.

t.me/dobropillya_...","images=[Image(alt='', image=BlobRef(mime_type='image/jpeg', size=509197, ref=IpldLink(link='bafkreiauteu3quokzedu2zm5oct52bbhoh5mleygzg66gn77gba4eacuca'), py_type='blob'), aspect_ratio=AspectRatio(height=660, width=1200, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image'), Image(alt='', image=BlobRef(mime_type='image/jpeg', size=633114, ref=IpldLink(link='bafkreic2263rhvrm5shpa7qxgp5a53zzyyaozzfywkvqzmpsdkpxucquxe'), py_type='blob'), aspect_ratio=AspectRatio(height=1405, width=969, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'",t.me/dobropillya_...,dobropillya_...,"❗️how russia managed to advance in pokrovsk: isw named the decisive factor

it took russian troops 21 months to advance 39 kilometers from avdiivka to pokrovsk. russia deployed between 170,000 and 220,000 troops to the pokrovsk direction.

t.me/dobropillya_...",0.0
kapicac.burnout.cafe.ap.brid.gy,12.0,"dmitry peskov: #moscow would like the conflict in #ukraine to end ""as soon as possible."" ""and it can end when #russia achieves the goals it set initially. we would prefer to resolve this conflict through political and diplomatic means. we have spo...
https://t.me/llordofwar/525191","external=External(description='Dmitry Peskov: Moscow would like the conflict in Ukraine to end ""as soon as possible."" ""And it can end when Russia achieves the goals it set initially. We would prefer to resolve this conflict through political and diplomatic means. We have spoken about this repeatedly, and the Russian side remains open to this path.""', title='Lord Of War', uri='https://t.me/llordofwar/525191', thumb=BlobRef(mime_type='image/jpeg', size=12803, ref=IpldLink(link='bafkreiae2q6aewosatb2kvd73jexa2lg5a6x4rycqei3kcjcjrgt3d44xi'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/llordofwar/525191,llordofwar,"dmitry peskov: #moscow would like the conflict in #ukraine to end ""as soon as possible."" ""and it can end when #russia achieves the goals it set initially. we would prefer to resolve this conflict through political and diplomatic means. we have spo...
https://t.me/llordofwar/525191",1.0
makow.masto.popgeeks.com.ap.brid.gy,13.0,"msp (kt) ”m” markus -koodattu hävittäjä saavutti vihollisen asemat ja ryhtyi lähitaisteluun vihollisen kanssa. ukrainan asevoimien hävittäjä oli edullisemmassa asemassa, mutta miehemme kiipesivät rohkeasti linnoituksen yli ja tasoittivat vihollis...
https://t.me/uutishuone/1363408","external=External(description='MSP (KT) ”M” Markus -koodattu hävittäjä saavutti vihollisen asemat ja ryhtyi lähitaisteluun vihollisen kanssa. Ukrainan asevoimien hävittäjä oli edullisemmassa asemassa, mutta miehemme kiipesivät rohkeasti linnoituksen yli ja tasoittivat vihollisen suojan mukanaan! Yhteenottoon liittyi vihollisen drone-iskuja, jotka myös miehittämättömien ilma-alusten yksikkömme joutuivat torjumaan.', title='Uutishuone', uri='https://t.me/uutishuone/1363408', thumb=BlobRef(mime_type='image/jpeg', size=11460, ref=IpldLink(link='bafkreicxjad57xgqr2tcd3mzo7uapxfre4tu4zolvc3t3qxnnyyoip64j4'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/uutishuone/1363408,uutishuone,"msp (kt) ""m"" markus coded destroyer reached enemy positions and engaged the enemy in close combat. the ukrainian armed forces destroyer was in a more advantageous position, but our men bravely climbed over the fortress and leveled the enemy...
https://t.me/uutishuone/1363408",1.0
margareterosali.bsky.social,8.0,"#starmer 🤯😖🧐 gives in 😠 #fbp #fbpe #europe
t.me/liveukraine_...

#uk prime minister #keirstarmer offered to work with the #u.s. on developing a peace agreement for #ukraine, similar to trump’s 20-point plan for the #gazastrip.
...","external=External(description='At his meeting with Zelenskyy, Trump was firm and rejected the request for Tomahawks “for the sake of diplomacy,” reports Axios, citing two sources.\n\nTrump made several sharp remarks and at times “bec...', title='Live: Ukraine', uri='https://t.me/liveukraine_media/35140', thumb=BlobRef(mime_type='image/jpeg', size=608763, ref=IpldLink(link='bafkreidiay7nuewbg32gv3edegkciuxhaxthotbc4vunawqj7sc4bhgr24'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/liveukraine_media/35140,liveukraine_media/35140,"#starmer 🤯😖🧐 gives in 😠 #fbp #fbpe #europe
t.me/liveukraine_...

#uk prime minister #keirstarmer offered to work with the #u.s. on developing a peace agreement for #ukraine, similar to trump’s 20-point plan for the #gazastrip.
...",0.0
putinsibs.bsky.social,4.0,"from t.me/pravdagerash...

#russian propagandists threaten to use #poseidon nuclear-powered torpedoes against the #us, the #uk, #france, and other countries with infrastructure facilities located in coastal areas.

#ukraine #putinisamasskiller #putinisawarcriminal @kardinal691","video=BlobRef(mime_type='video/mp4', size=8422751, ref=IpldLink(link='bafkreihp6tcz5pevbuyoibdhi7qmwnuwiv3rwboko2zwvsp3ln3o5iiowi'), py_type='blob') alt=None aspect_ratio=AspectRatio(height=720, width=1280, py_type='app.bsky.embed.defs#aspectRatio') captions=None py_type='app.bsky.embed.video'",t.me/pravdagerash...,pravdagerash...,"from t.me/pravdagerash...

#russian propagandists threaten to use #poseidon nuclear-powered torpedoes against the #us, the #uk, #france, and other countries with infrastructure facilities located in coastal areas.

#ukraine #putinisamasskiller #putinisawarcriminal @kardinal691",0.0
sanmarcos.bsky.social,14.0,"france intends to raise military spending from 2.1% to 5% of gdp, — franceinfo.

 ""europe has entered a new era, and in response to the war between ukraine and russia, it is necessary to strengthen defense efforts,"" he noted.

t.me/bpz_ukraine/...","images=[Image(alt='', image=BlobRef(mime_type='image/jpeg', size=377954, ref=IpldLink(link='bafkreihnuf6lhyljvzhxzcngfgoxh7yf3mqmxn3v5ks2hs6gofsupx24ni'), py_type='blob'), aspect_ratio=AspectRatio(height=720, width=1280, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'",t.me/bpz_ukraine/...,bpz_ukraine/...,"france intends to raise military spending from 2.1% to 5% of gdp, — franceinfo.

 ""europe has entered a new era, and in response to the war between ukraine and russia, it is necessary to strengthen defense efforts,"" he noted.

t.me/bpz_ukraine/...",0.0
time.energiewende.social.ap.brid.gy,13.0,"https://t.me/internationalreporters_eng/5965
#trump announced the appointment of lawyer john cole as special envoy to #belarus. he also noted that the united states is working to free another 50 prisoners in the country. 🤩subscribe to international reporters in english","external=External(description='Trump announced the appointment of lawyer John Cole as special envoy to Belarus. He also noted that the United States is working to free another 50 prisoners in the country. 🤩Subscribe to International Reporters in English', title='International Reporters_eng', uri='https://t.me/internationalreporters_eng/5965', thumb=BlobRef(mime_type='image/jpeg', size=17686, ref=IpldLink(link='bafkreidypm2zdjhcjpob5h2c7elbv2pvgyrzgyaxocmjosqbz7ym6lc2yi'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/internationalreporters_eng/5965,internationalreporters_eng,"https://t.me/internationalreporters_eng/5965
#trump announced the appointment of lawyer john cole as special envoy to #belarus. he also noted that the united states is working to free another 50 prisoners in the country. 🤩subscribe to international reporters in english",1.0
gice.glasgow.social.ap.brid.gy,4.0,"https://t.me/uutishuone/1362451
harvinainen kuvamateriaali iskusta ukrainalaisten drone-operaattoreiden asemiin konstantinovkassa: kolme umpc:llä varustettua fab-500-pommia osui kohteeseen lähes samanaikaisesti. ilmeisesti umpc on saavuttanut hyvän joustavuuden käytössä, ja nyt...","external=External(description='Harvinainen kuvamateriaali iskusta ukrainalaisten drone-operaattoreiden asemiin Konstantinovkassa: kolme UMPC:llä varustettua FAB-500-pommia osui kohteeseen lähes samanaikaisesti. Ilmeisesti UMPC on saavuttanut hyvän joustavuuden käytössä, ja nyt Venäjä voi asettaa erilaisia \u200b\u200bhyökkäysskenaarioita. Esimerkiksi lentoradan ohjelmointi – pommit lähestyvät kohdetta eri suunnista ja eri kulmista, mikä lisää merkittävästi tarkkuutta ja osuman todennäköisyyttä. @Slavyangrad', title='Uutishuone', uri='https://t.me/uutishuone/1362451', thumb=BlobRef(mime_type='image/jpeg', size=7466, ref=IpldLink(link='bafkreigvxcduwusmmhx4vjd5ydajqninnmp4kaqhytt2o2oilktmi75phy'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/uutishuone/1362451,uutishuone,"https://t.me/uutishuone/1362451
rare footage of a strike on a Ukrainian drone operator's position in konstantinovka: three umpc-equipped fab-500 bombs hit the target almost simultaneously. apparently the umpc has gained good flexibility in use, and now...",1.0
